,Post_Content,Date,Comments_Shares,All_Responses,Brand
424,"We love Martha’s ultimate rocky road recipe packed with toffee popcorn, marshmallow, peanuts and cranberries.
Get the recipe here: http://bit.ly/2m0Vvce","March 19, 2017","285 Comments1,449 Shares492K Views",2.8K,waitroseandpartners
426,"Try our delicious miso rice bowl packed with grapefruit, sweet and sticky chicken and basmati rice – it’s great for a healthy lunch or dinner.
Get the recipe here: http://bit.ly/2mvtAg3","March 18, 2017",20 Comments35 Shares20K Views,204,waitroseandpartners
428,"For a chance to win a beautiful Emma Bridgewater bouquet and hamper, simply comment below and tell us how you're planning to say #ThanksMum this Mother's Day.
Full terms: http://bit.ly/2lXuqqG","March 16, 2017",1.2K Comments253 Shares,1.6K,waitroseandpartners
430,"Say thanks with a beautiful Mother's Day bouquet, available online from Waitrose Florist.","March 15, 2017",57 Comments37 Shares,849,waitroseandpartners
434,"All of the cows that provide our fresh milk and cream spend at least 120 days a year grazing. We are the only supermarket to guarantee this.
More information: https://goo.gl/81J2lj.","March 13, 2017",470 Comments392 Shares1.4M Views,5K,waitroseandpartners
436,"Turn toast into something special with these four topping ideas! Recipes below.
Almond butter and cherry compote on sourdough: http://bit.ly/2msoH7U
Harissa houmous and courgette on rustic bread: http://bit.ly/2mkAs14...
See More","March 1, 2017",120 Comments345 Shares627K Views,1.4K,waitroseandpartners
438,Master classic pancakes with our ultimate recipe: http://bit.ly/2mpCMHc,"February 28, 2017",28 Comments59 Shares26K Views,418,waitroseandpartners
440,"Thanks for your votes and for helping us create the ultimate pancake tower with John Whaite.
Re-watch our live video for lots of recipes and top tips for creating the perfect pancake.
Happy Pancake Day from everyone at Waitrose.","February 28, 2017 at 5:30 AM",547 Comments170 Shares240K Views,1.2K,waitroseandpartners
442,"Impress friends and family with these pretty lace pancakes – they take a little practise but they’re easier than you might think!
Get our classic pancake recipe here: http://bit.ly/2lCZZCA","February 27, 2017","1.8K Comments2,205 Shares1.6M Views",5.5K,waitroseandpartners
444,"Try Martha Collison’s brilliant recipe for roasted butternut squash and pancetta soup served in a homemade bread bowl.
Get the recipe: http://bit.ly/2kwC6PP","February 25, 2017",27 Comments26 Shares,237,waitroseandpartners
446,"Rich and indulgent chocolate and salted peanut cookies!
Get the recipe: http://bit.ly/2lUYDmi","February 24, 2017","709 Comments1,021 Shares731K Views",3.2K,waitroseandpartners
448,"Enjoy our one-pot veggie recipe for roast cauliflower with butternut tomato sauce.
Get the recipe: http://bit.ly/2lqwk1x","February 23, 2017",55 Comments131 Shares31K Views,397,waitroseandpartners
450,"Watch our simple one-pot cod recipe, that’s packed with flavour and ready in less than 30 minutes.
Get the recipe: http://bit.ly/2l33pya","February 22, 2017","513 Comments1,801 Shares917K Views",4.1K,waitroseandpartners
452,"Did you know? Each month every Waitrose branch donates £1,000 (£500 in Convenience shops) between 3 local good causes that you choose.
Simply pop your green token in our Community Matters box when exiting our stores.
#CommunityMatters","February 19, 2017",532 Comments633 Shares,10K,waitroseandpartners
454,"Grilled chicken kebabs layered with crunchy pickled slaw and dollop of cool tzatziki dip.
Try Ian Haste’s recipe for healthy take on Saturday night kebabs: http://bit.ly/2k3bNia","February 18, 2017",233 Comments530 Shares846K Views,2.4K,waitroseandpartners
458,"Treat your Valentine to a hot chocolate soufflé – deliciously indulgent and perfect for chocolate-lovers!
Get the recipe: http://bit.ly/2kcSSys","February 14, 2017",23 Comments40 Shares15K Views,245,waitroseandpartners
460,"Celebrate with bubbles this Valentine's Day!
Save a third on selected bottles of Champagne and Prosecco. Available in store and online here: http://bit.ly/2jHeEdx","February 12, 2017",10 Comments5 Shares,89,waitroseandpartners
462,How to cook the perfect steak for Valentine's Day: http://bit.ly/2lorLBm,"February 11, 2017","747 Comments1,401 Shares783K Views",3.8K,waitroseandpartners
464,"What's not love with our scrumptious, heart-shaped Cheddar?
Pick up our Organic Godminster Vintage Cheddar from the cheese counter for Valentine's day. Find your local Waitrose here: http://bit.ly/2kXfFzM
£5 for 200g.","February 11, 2017",34 Comments25 Shares,258,waitroseandpartners
466,"Visit your local Waitrose this weekend for delicious tastings of our San Leo Prosecco, organic Godminster vintage Cheddar and more!
Find out more: http://bit.ly/2jYq8hv","February 10, 2017",1.4K Comments59 Shares,416,waitroseandpartners
468,"Watch Ian Haste’s brilliant gluten-free recipe for chocolate, coffee and Nutella fondant – great for dinner parties!
Get the recipe: http://bit.ly/2k3EqwL","February 8, 2017","2.2K Comments2,880 Shares1.2M Views",6K,waitroseandpartners
470,"WIN our beautiful ‘My True Love’ bouquet for you and a loved one or friend this Valentine’s Day!
Simply tell us in the comments below who you'd gift a bouquet to and why for a chance to win.
Discover our full range of stunning flowers and bouquets online at Waitrose Florist: http://bit.ly/2leAtpW...
See More","February 7, 2017",1.8K Comments303 Shares,1.8K,waitroseandpartners
472,"Why not get baking this weekend and try our hazelnut and chocolate orange biscotti recipe – they’re also less than 100 calories per serving!
Get the recipe: http://bit.ly/2kB2YcV","February 5, 2017",21 Comments57 Shares21K Views,211,waitroseandpartners
474,"Delicious vegan enchiladas packed with smoky tomato sauce, sweet potato, spinach and black beans. Serve alongside homemade guacamole.
Get the recipe: http://bit.ly/2j7VjU3","January 31, 2017","1.6K Comments1,854 Shares458K Views",3.8K,waitroseandpartners
476,"Watch our warming recipe for Vietnamese sweet potato and chicken curry – it’s on the table in just 30 minutes.
Get the recipe: http://bit.ly/2jf0JuI","January 28, 2017",52 Comments170 Shares33K Views,458,waitroseandpartners
478,"Try our meat-free recipe for pan fried gnocchi with broccoli, hazelnuts and garlic - it's perfect for dinner tonight!
Get the recipe: http://bit.ly/2j4TWsu","January 25, 2017",30 Comments48 Shares16K Views,234,waitroseandpartners
480,"Introducing our Bramley Apple and Cinnamon and our Mini Chocolate and Orange hot cross buns, voted for by our fans on social media!
Pick up a pack in store today and enjoy 25% off: http://bit.ly/2jozDp7","January 22, 2017",202 Comments57 Shares,1K,waitroseandpartners
482,"Perfect served with coconut yogurt, our baked carrot cake oatmeal recipe is great for breakfast.
Get the recipe: http://bit.ly/2i8T19O","January 14, 2017",141 Comments143 Shares52K Views,582,waitroseandpartners
484,"Did you know? Each month every Waitrose branch donates £1,000 (£500 in Convenience shops) between 3 local good causes that you choose.
Simply pop your green token in our Community Matters box when exiting our stores.
#CommunityMatters","January 12, 2017",488 Comments174 Shares,2K,waitroseandpartners
486,"Try this simple recipe for pineapple and coconut cake decorated with creamy coconut frosting.
Get the recipe: http://bit.ly/2hTSj0b","January 8, 2017",75 Comments68 Shares19K Views,326,waitroseandpartners
488,"Our Big Half Price Event is back! Stock up on hundreds of half price offers including household basics, frozen food and more.
Shop here: http://bit.ly/2idSwr9","January 7, 2017",45 Comments32 Shares,257,waitroseandpartners
490,"For a healthy takeaway, try this recipe for lamb gyros with tomato salad and garlic yogurt.
Get the recipe: http://bit.ly/2iPIqgP","January 6, 2017",48 Comments35 Shares,278,waitroseandpartners
492,"Warm up from the cold weather with our scrumptious date and chickpea masala recipe. Serve with warm pitta bread, a dollop of yogurt and coriander.
Get the recipe: http://bit.ly/2hVpyPa","January 5, 2017",80 Comments151 Shares26K Views,542,waitroseandpartners
494,Happy New Year from all of us at Waitrose!,"January 1, 2017",45 Comments26 Shares,1K,waitroseandpartners
496,We wish you all a fantastic New Year! We’re off to enjoy the celebrations now but we’ll be back on the 2nd Jan from 8am.,"December 31, 2016",32 Comments7 Shares,551,waitroseandpartners
498,"Hosting this New Year’s Eve? Try our easy sausage rolls recipe for a quick homemade canapé that guests will love.
Get the recipe: http://bit.ly/2hoqHzj","December 30, 2016",179 Comments376 Shares137K Views,1K,waitroseandpartners
500,"Watch how to make Martha Collison’s stunning chocolate meringue dessert layered with sweet chestnut cream and decorated with dark chocolate curls.
Get the full recipe: http://bit.ly/2hqXFfz","December 29, 2016",111 Comments300 Shares171K Views,887,waitroseandpartners
502,"Make the most of leftover Christmas turkey with our spicy turkey quesadilla recipe: http://bit.ly/2hljksf
What’s your favourite leftover dish?","December 26, 2016",126 Comments360 Shares163K Views,757,waitroseandpartners
504,"Merry Christmas from all of us at Waitrose! What delicious food are you most looking forward to today?
#HomeForChristmas","December 25, 2016",21 Comments6 Shares9.3K Views,267,waitroseandpartners
506,"We hope you all have a fantastic Christmas, our Facebook wall is now closed, but we’ll be back at 9am on Tuesday 27th to hear all about the amazing food you’ve been enjoying.
Merry Christmas from all of us at Waitrose!","December 24, 2016",25 Comments6 Shares,375,waitroseandpartners
512,"Impress the chocolate-lovers this Christmas with our Red Velvet Tree Trunk cake - four indulgent layers of red velvet sponge with thick chocolate buttercream.
Shop here: http://bit.ly/2gVgLd4
#HomeForChristmas","December 23, 2016",277 Comments264 Shares179K Views,1.4K,waitroseandpartners
514,"Roast potatoes are often the highlight of our Christmas dinner! Ensure yours are perfect this year with our simple tips.
Get the recipe: http://bit.ly/2gVvULe","December 22, 2016",453 Comments778 Shares335K Views,1.8K,waitroseandpartners
516,"Tag a friend who hosts the best Christmas or New Year's Eve parties for the chance to win a luxury case of Champagne for the both of you!
Terms: http://bit.ly/2haQnNd","December 19, 2016","10K Comments2,057 Shares",7.8K,waitroseandpartners
518,"For a delicious veggie main this Christmas, try our recipe for mushroom and chestnut wellington that’s packed with flavour!
Get the recipe: http://bit.ly/2hoYtBR
#HomeForChristmas","December 19, 2016","925 Comments2,057 Shares436K Views",4K,waitroseandpartners
520,"For an impressive Christmas side dish try our delightful Romanesco trees - a cauliflower hybrid that’s delicious when roasted in the oven with a scattering of sparkling pomegranate seeds and star anise.
Shop here: http://bit.ly/2hzNcSh
#HomeForChristmas","December 17, 2016",343 Comments227 Shares648K Views,1.2K,waitroseandpartners
522,"For a refreshingly cool dessert this Christmas, try our Passion Fruit and Lime Yule log with creamy mousse, coconut and white chocolate sponge and a zesty mango and lime curd.
Shop here: http://bit.ly/2hIsoUN
#HomeForChristmas","December 16, 2016",524 Comments468 Shares754K Views,3.3K,waitroseandpartners
524,"Tell us who cooks a brilliant Christmas Dinner for the chance to win a beautiful Waitrose dining set! #HomeForChristmas
For the full prize list please see T&Cs: http://bit.ly/2hlXrpJ","December 12, 2016",4.2K Comments918 Shares,6.6K,waitroseandpartners
526,What’s your highest score? Play our game and help the Waitrose robin fly #HomeForChristmas,"December 9, 2016",112 Comments401 Shares912K Views,2.2K,waitroseandpartners
528,"Warming, slow-cooker mulled wine with delicious festive spices! A great recipe for Christmas Eve: http://bit.ly/2fIbLvK","December 7, 2016","1.9K Comments3,698 Shares507K Views",5.5K,waitroseandpartners
530,"Today’s Q&A has now closed - thanks for all your great questions.
Discover all of Heston's recipes here: http://bit.ly/2g532Us
Find Heston's Christmas products here: http://bit.ly/2gyPDQV...
See More","December 5, 2016",427 Comments157 Shares,1.4K,waitroseandpartners
532,"This Christmas we are celebrating the hosts! Tell us who makes the most amazing Christmas bakes for the chance to win a KitchenAid for you and a friend.
#HomeForChristmas
Terms: http://bit.ly/2fOyr8I","December 5, 2016","6K Comments1,168 Shares",5.7K,waitroseandpartners
534,"Soft and creamy with a woody flavour, our Vacherin Badoz cheese is sure to be the star of your Christmas cheese board: http://bit.ly/2fsFzHQ
#HomeForChristmas","December 4, 2016","4.7K Comments2,486 Shares2.1M Views",10K,waitroseandpartners
536,"Play our game and help the Waitrose robin fly #HomeForChristmas
Can you reach 100 miles?","December 3, 2016",269 Comments522 Shares,2.7K,waitroseandpartners
538,"For a fabulous twist on mince pies, try our simply delicious clementine and walnut recipe drizzled with sticky clementine icing.
Get the recipe: http://bit.ly/2gEEWzW
#HomeForChristmas","December 2, 2016","260 Comments1,460 Shares429K Views",3.8K,waitroseandpartners
540,"Heston from Waitrose Persian Spiced Christmas pudding filled with fragrant honey rose butter filling and dusted in edible copper glitter.
Available in store and online: http://bit.ly/2fsIKPS
#HomeForChristmas","December 1, 2016",466 Comments327 Shares403K Views,2.3K,waitroseandpartners
542,"Today’s Q&A has now closed - thanks for all your great questions, I really enjoyed reading them all. John x","November 27, 2016",157 Comments71 Shares,2.2K,waitroseandpartners
544,"Exclusive Golden Butter Turkey garnished with rosemary skewered turkey and winter herb stuffing – the ultimate Christmas dinner centrepiece: http://bit.ly/2f48vpr
#HomeForChristmas","November 26, 2016",195 Comments214 Shares443K Views,2.3K,waitroseandpartners
546,"Last chance! Challenge your friends to play the Robin's Journey #HomeForChristmas game for a chance to win a luxury Waitrose 1 hamper worth £250!
To take part simply tag your friends in the comments below. Terms: http://bit.ly/2fA9ktT
Play the game http://bit.ly/2eZ1arL","November 25, 2016",377 Comments54 Shares14K Views,371,waitroseandpartners
548,"The Waitrose robin needs your help to fly #HomeForChristmas
Play the robin's journey game and challenge your friends!","November 24, 2016",249 Comments606 Shares,3.7K,waitroseandpartners
550,Discover our fun Christmas baking recipes. Perfect for making with the family.,"November 23, 2016","394 Comments1,045 Shares",4.1K,waitroseandpartners
552,"Watch how to make these cute chocolate robin cupcakes – they make great gifts for Christmas!
Get the recipe: http://bit.ly/2f483ay","November 22, 2016",242 Comments309 Shares122K Views,833,waitroseandpartners
554,"Win a Luxury Christmas Delight Candle Centrepiece from Waitrose Florist for you and a friend this Christmas.
Simply tell us in the comments below who you would give the prize to and why for the chance to win http://bit.ly/2fKSYP4","November 21, 2016",1.9K Comments326 Shares,1.7K,waitroseandpartners
556,"Pop in store to take part in our robin Christmas trail and pick up your activity pack (Available in all main stores. Excludes Little Waitrose).
For a chance to win a family trip to Birdworld, share photos of your Christmas creations from the pack in the comments below.
Terms & Conditions: http://bit.ly/2eF3AzR","November 20, 2016",422 Comments512 Shares,4.9K,waitroseandpartners
558,"Challenge your friends to play the Robin's Journey #HomeForChristmas game for a chance to win a luxury Waitrose 1 hamper worth £250!
To take part simply tag your friends in the comments below. Terms: http://bit.ly/2fA9ktT
Play the game http://bit.ly/2eZ1arL","November 18, 2016",770 Comments171 Shares19K Views,802,waitroseandpartners
560,"Follow our robin’s journey #HomeForChristmas as he battles across frozen lands, huge mountains and stormy seas.
Pick up our new Christmas book, ‘Coming Home’ written by Michael Morpurgo in store or online: http://bit.ly/2fBkTi6","November 15, 2016",119 Comments158 Shares,1.6K,waitroseandpartners
562,"The Waitrose robin needs your help to fly #HomeForChristmas.
Play the Robin's Journey game and challenge your friends! http://bit.ly/2eZ1arL","November 14, 2016","344 Comments1,382 Shares912K Views",7.5K,waitroseandpartners
564,"There’s nothing quite like arriving #HomeForChristmas and sharing special moments with your loved ones.
Follow our robin’s journey.
Discover more: http://bit.ly/2eJ4lTA","November 13, 2016","11K Comments73,615 Shares6.9M Views",158K,waitroseandpartners
566,Kale pesto gnocchi with lots of cream cheese! Get the recipe: http://bit.ly/2f0RKz1,"November 12, 2016",45 Comments59 Shares12K Views,214,waitroseandpartners
568,"Try our quick recipe for turkey burgers packed with cranberry mayo, crispy pancetta and mashed avocado. Get the recipe: http://bit.ly/2eG6yQr","November 11, 2016",33 Comments25 Shares8.6K Views,161,waitroseandpartners
570,"Watch our delicious burrito recipe with spicy squash, quinoa, rice, avocado and herby coconut yogurt.
Read the full recipe: http://bit.ly/2fFmh6d","November 10, 2016",42 Comments39 Shares15K Views,199,waitroseandpartners
572,"It’s National Nachos Day! Try one of our indulgent nacho recipes, from chilli con carne to pulled pork: http://bit.ly/2eyUoM4","November 6, 2016",64 Comments56 Shares,300,waitroseandpartners
574,"For a lovely comforting treat this Bonfire Night, try our slow-cooked sticky toffee pudding recipe: http://bit.ly/2eeu5HU","November 5, 2016",42 Comments138 Shares30K Views,574,waitroseandpartners
576,"Warming, golden and lightly spiced, our turmeric latte recipe is just what you need this autumn. Get the recipe here: http://bit.ly/2ePQzkl","November 3, 2016",263 Comments343 Shares39K Views,732,waitroseandpartners
578,Happy Halloween from all of us at Waitrose!,"October 31, 2016",19 Comments15 Shares9.2K Views,391,waitroseandpartners
580,"With layers of rich red velvet sponge and glossy chocolate icing, our ultimate Halloween cake recipe is irresistible!
Get the full recipe here: http://bit.ly/2eKNTnl","October 30, 2016",24 Comments54 Shares21K Views,418,waitroseandpartners
582,Try Martha Collison's fantastic recipe for giant meringues! These pretty meringues make great gifts for family and friends: http://bit.ly/2duCI3g,"October 29, 2016",13 Comments95 Shares20K Views,259,waitroseandpartners
584,Try making our fun Witches' Broomsticks with the kids this #Halloween using chocolate-coated biscuits and liquorice Catherine wheels.,"October 28, 2016",8 Comments23 Shares8.4K Views,124,waitroseandpartners
586,"Download your free November issue of Waitrose Food with exclusive recipes you won’t find anywhere else!
App Store download: http://apple.co/2dPbrso
Google Play download: http://bit.ly/2enTrIU","October 27, 2016",8 Comments17 Shares,229,waitroseandpartners
588,"Try our simple one-pot pasta recipe with parsley and crab for dinner tonight!
Get the recipe: http://bit.ly/2e3M3SD","October 23, 2016",20 Comments51 Shares12K Views,280,waitroseandpartners
590,"Help support Breast Cancer Awareness Month with our new charity jute bag designed by Savannah Miller. For each bag sold, 50p will go to Breast Cancer Haven.","October 20, 2016",46 Comments43 Shares,493,waitroseandpartners
594,"#Waitrose1 Chocolate & Coconut Mousses – two creamy Belgian chocolate mousses with a rich coconut filling.
Browse the very best of Waitrose, with more than 100 new products added for autumn: http://bit.ly/2dNKw2D","October 16, 2016",324 Comments260 Shares660K Views,2.6K,waitroseandpartners
596,Love custard cream biscuits? Watch how to make Martha Collison’s delicious custard cream cheesecake recipe: http://bit.ly/2deQ7uh,"October 15, 2016",337 Comments474 Shares68K Views,955,waitroseandpartners
598,"Introducing our new #Waitrose1 Classic Dessert Collection and Salted Caramel Truffles.
Our luxurious collections of indulgent truffles are velvety, smooth and utterly irresistible.
Browse the very best of Waitrose, with more than 100 new products added for autumn: waitrose.com/waitrose1","October 14, 2016",164 Comments155 Shares387K Views,1.7K,waitroseandpartners
600,"Try this classic recipe for Spaghetti Alla Carbonara, using crispy pancetta, eggs, Parmesan and lots of black pepper!
Get the recipe here: http://bit.ly/2dJC7J1","October 13, 2016",37 Comments101 Shares25K Views,344,waitroseandpartners
602,"Try one of these brilliant lunchbox ideas with your kids this week. Which one is your favourite?
Find more lunch recipes and ideas here: http://bit.ly/2e8PWl3","October 12, 2016",33 Comments107 Shares21K Views,385,waitroseandpartners
604,"Try Martha’s simple no-bake recipe for chocolate peanut crispy bars!
Full recipe: http://bit.ly/2dsuDMZ","October 9, 2016",71 Comments192 Shares32K Views,436,waitroseandpartners
606,"Introducing our new #Waitrose1 Éclairs, including Sicilian Lemon Meringue and Raspberry & Rose.
Browse the very best of Waitrose, with more than 100 new products added for autumn: http://bit.ly/2dNKw2D","October 7, 2016",470 Comments390 Shares700K Views,3.2K,waitroseandpartners
608,"A beautiful sunset over the Waitrose Leckford farm in Hampshire.
As our autumn harvest comes to a close, keep an eye out in store for our delicious Leckford apples, pears, rapeseed oil and mushrooms.
Find out more: http://bit.ly/2cKcNEN...
See More","October 1, 2016",45 Comments134 Shares208K Views,1.6K,waitroseandpartners
610,"At Waitrose we sell 7 varieties of organic British apples and pears. These Waitrose Duchy Organic apples are grown using natural methods at Moor Farm in Kent.
Find out more: http://bit.ly/2dC81Yx","September 30, 2016",61 Comments156 Shares195K Views,1.7K,waitroseandpartners
612,"Did you know that we produce over 25 tonnes of Chestnut mushrooms each week on our farm in Leckford?
Each mushroom is carefully handpicked and then transported into punnets, soon to be sold in your local Waitrose.
Find out more: http://bit.ly/2cKcNEN...
See More","September 28, 2016",140 Comments178 Shares543K Views,1.1K,waitroseandpartners
614,"We’re proud to have our very own working farm in Leckford, Hampshire. Every year we produce over 300 tonnes of apples and pears, 500 tonnes of rapeseed for oil and 2,000 tonnes of wheat, plus much more!
#WaitroseAtSource
Photo Credit: @BobbiMac, @SeanPatrickByrnePhotography and @BenGreenPhotography","September 24, 2016",192 Comments230 Shares,5.9K,waitroseandpartners
616,Pop in store and pick up Deliciously Ella’s fantastic natural energy balls – perfect for a quick pick-me-up or snack between meals!,"September 23, 2016",21 Comments2 Shares,41,waitroseandpartners
618,"Try our delicious organic recipe for classic carrot cake – perfect for an afternoon treat.
Get the recipe: http://bit.ly/2cCM0fT","September 22, 2016",199 Comments886 Shares367K Views,2.3K,waitroseandpartners
620,"This autumn we’re throwing open the doors to our very own farm in Leckford, Hampshire. Covering an area of 4,000 acres, the farm was first purchased in 1929 by John Spedan Lewis and we’re still farming on the land 90 years later.
Explore the Waitrose Farm here: http://bit.ly/2db6dp7
#WaitroseAtSource","September 21, 2016",54 Comments116 Shares,1.6K,waitroseandpartners
624,"Watch our brilliant recipe for lamb shanks – simple to make, packed with flavour and perfect for a slow-cooker!
Find the recipe here: http://bit.ly/2cBavrN","September 18, 2016",43 Comments79 Shares18K Views,208,waitroseandpartners
626,"Our cold-pressed rapeseed oil – straight from the Waitrose Farm in Leckford, Hampshire.
Find out more about our food here: http://bit.ly/2cc8T4g
#WaitroseAtSource","September 17, 2016",63 Comments105 Shares231K Views,801,waitroseandpartners
628,Salted popcorn caramel cupcakes! Get the recipe: http://bit.ly/2cHfB7i,"September 16, 2016","680 Comments1,209 Shares366K Views",3.7K,waitroseandpartners
630,"Watch our delicious veggie recipe for courgette, spinach and ricotta lasagne topped with toasted pine nuts.
Read the recipe here: http://bit.ly/2cdgvGP","September 15, 2016",21 Comments66 Shares14K Views,208,waitroseandpartners
632,"For a lovely autumnal treat, try our recipe for spiced apple and walnut blondies – delicious served warm with a scoop of ice cream.
Find the recipe here: http://bit.ly/2bZR5LE","September 11, 2016",13 Comments54 Shares16K Views,252,waitroseandpartners
634,"Watch Heston Blumenthal’s delicious recipe for Vietnamese Banh Mi – a spiced pork sandwich with pickled vegetables.
Get the full recipe: http://bit.ly/2c6tnyN","September 10, 2016",15 Comments24 Shares9.3K Views,81,waitroseandpartners
636,"Rich Harris shares his chipotle steak tacos recipe served with fresh guacamole and blackened tomato salsa.
Get the recipe: http://bit.ly/2ciM3ZN","September 9, 2016",3 Comments11 Shares8.5K Views,92,waitroseandpartners
640,"Try our delicious £10 Dinner For Two. Choose a main, side, starter or dessert and a bottle of wine or chocolates. Ends 6 September.
Shop in store or online: http://bit.ly/2chSf7k","September 5, 2016",10 Comments5 Shares,34,waitroseandpartners
642,"Our Big Half Price Event is back! Enjoy a month of great savings across household must-haves, fresh and frozen food and beauty!
Shop here: http://bit.ly/2bCE8rY","September 4, 2016",16 Comments24 Shares,196,waitroseandpartners
644,"Watch our simple recipe for delicious sticky chicken legs served with pineapple salsa and jalapeno mayo.
Get the recipe: http://bit.ly/2bG1wU3","September 3, 2016",18 Comments45 Shares15K Views,190,waitroseandpartners
646,"This Bank Holiday weekend, why not try our delicious summer pudding recipe using blackberries, strawberries and raspberries.
Get the recipe: http://bit.ly/2bSX8QU","August 27, 2016",17 Comments22 Shares12K Views,152,waitroseandpartners
648,"Last chance! Tell us your favourite barbecue food or post your summer barbecue photos in the comments below for the chance to win a Weber barbecue, just in time for the Bank Holiday.
#TasteOfSummer
Terms: http://bit.ly/2bvF7ZW","August 21, 2016",1.2K Comments148 Shares,843,waitroseandpartners
650,"We’re celebrating the wonderful variety of summer flavours and foods with #TasteOfSummer.
Tell us your favourite barbecue food or post your summer barbecue photos in the comments below for the chance to win a Weber barbecue, just in time for the Bank Holiday.
Terms: http://bit.ly/2bvF7ZW","August 18, 2016",494 Comments69 Shares,472,waitroseandpartners
652,"Watch how to bake Martha Collison’s impressive blackberry ombré cake topped with homemade honeycomb shards and fresh blackberries!
Get the recipe: http://bit.ly/2aSHuah","August 14, 2016",27 Comments157 Shares25K Views,319,waitroseandpartners
654,"Watch The Happy Pear’s indulgent recipe for caramel nut bars drizzled in chocolate. They’re also gluten and dairy free!
Get the recipe: http://bit.ly/2auyvg5","August 13, 2016",169 Comments464 Shares115K Views,1.2K,waitroseandpartners
656,"Gooey, warm and indulgent Camembert bread bowl, using products from our #Waitrose1 range.
Stuff with sweet peach chutney for an amazing treat to enjoy with friends!
Recipe: http://bit.ly/2auyjxv","August 12, 2016","798 Comments1,092 Shares155K Views",2.5K,waitroseandpartners
658,"We’re celebrating the wonderful flavours of the world.
Tell us your all-time favourite dish and why for the chance to win a Le Creuset casserole dish and cooking bundle.
Terms: http://bit.ly/2aRr1jB","August 11, 2016",1.7K Comments329 Shares,1.4K,waitroseandpartners
660,"Watch The Happy Pear’s delicious recipe for their grilled Halloumi burger in a toasted brioche bun with sweet chilli ketchup and garlic mayo.
Read the recipe: http://bit.ly/2aqXO42","August 7, 2016",240 Comments502 Shares379K Views,1.6K,waitroseandpartners
662,"Watermelon pizza topped with crumbled feta, chopped black olives and a drizzle of sticky balsamic glaze. Perfect for a healthy summer snack.
Recipe: http://bit.ly/2awUgI5","August 6, 2016",421 Comments465 Shares333K Views,1.4K,waitroseandpartners
664,"Watch Heston’s method for the ultimate barbecued steak served with chimichurri and guasacaca sauces.
Get the recipe: http://bit.ly/2avWVTF","August 5, 2016",105 Comments280 Shares244K Views,955,waitroseandpartners
666,"Watch Martha’s brilliant recipe for Mojito Macaroons bursting with flavours of lime and mint.
Recipe: http://bit.ly/2aJigwh","August 4, 2016",42 Comments131 Shares16K Views,313,waitroseandpartners
668,"Win a KitchenAid for you and a friend to enjoy summer baking. Simply tag a friend who would love this chocolate cherry brownie cake layered with butter icing.
Terms: http://bit.ly/29XNJqR","July 30, 2016",3.2K Comments526 Shares,2K,waitroseandpartners
670,"Today’s Q&A has now closed - thanks for all your great questions, I really enjoyed reading them all. Martha","July 27, 2016",82 Comments90 Shares,1.9K,waitroseandpartners
672,Love macarons? Watch our giant layer cake recipe oozing with lemon curd and cream. Recipe: http://bit.ly/29STsOM,"July 24, 2016",33 Comments67 Shares11K Views,233,waitroseandpartners
674,"WIN a KitchenAid for yourself and a friend to celebrate summer baking! Simply tag a friend who would love this indulgent chocolate layer cake smothered with chocolate ganache
Terms: http://bit.ly/29YpvNp","July 23, 2016",3.7K Comments736 Shares,2.6K,waitroseandpartners
676,"Watch Martha’s recipe for sticky toffee flapjacks – the ultimate hybrid of two delicious recipes, sticky toffee pudding and classics flapjacks.
Get the recipe: http://bit.ly/29Um2hu","July 22, 2016",10 Comments55 Shares10K Views,148,waitroseandpartners
678,"Martha Collison, GBBO finalist, shares her impressive gluten-free recipe for chocolate and raspberry torte.
Get the recipe here: http://bit.ly/29A1H4c","July 17, 2016",37 Comments40 Shares,178,waitroseandpartners
680,"WIN tickets for you and a friend to our Summer Cocktail Party evening course at our Cookery School. Simply vote below with 1, 2, 3 or 4 and tell us which one of these cocktails is your favourite:
1. Classic mojito
2. Pimm’s with fresh fruit
3. Frozen daiquiri...
See More","July 16, 2016",223 Comments25 Shares,167,waitroseandpartners
682,Try these delicious mushroom and Gruyère burgers with sweetcorn salsa – they make a great meatfree dish for lunch or dinner: http://bit.ly/29rxENM,"July 14, 2016",9 Comments15 Shares3.7K Views,59,waitroseandpartners
684,"As it's National Ice Cream Month, we're enjoying these refreshing yet indulgent recipes - which one is your favourite?","July 14, 2016",7 Comments5 Shares,55,waitroseandpartners
686,Celebrate the Wimbledon final with Heston’s Strawberry Panna Cotta Trifle recipe: http://bit.ly/29NWy68,"July 10, 2016",8 Comments29 Shares3.5K Views,95,waitroseandpartners
688,"Celebrate the start of the weekend with our refreshing martini recipe using our Waitrose 1 Limoncello Italian Gelato.
Get the full recipe: http://bit.ly/29lmMNI","July 8, 2016","1K Comments1,903 Shares489K Views",4.4K,waitroseandpartners
690,"Celebrate seasonal British cherries with these delightful dessert recipes. From chocolate brownies to cheesecake, which will you try?","July 8, 2016",6 Comments5 Shares,51,waitroseandpartners
692,"Try our twist on the classic affogato by adding our indulgent Waitrose 1 Chocolate and Hazelnut Italian Gelato – what’s not to love?
Read the full recipe: http://bit.ly/29qU5lV","July 6, 2016",271 Comments327 Shares413K Views,1.6K,waitroseandpartners
