,Date,Brand,Post_Content,All_Responses,Comments,Shares,Views,Contains_Link,Contains_Video
262,"September 1, 2017",Sainsburys,Your own mini cake made in the...MICROWAVE? We’re in 🎂 http://bit.ly/2estA2v / http://bit.ly/2vMy5HC,1200,1200,197,255000,True,True
263,"August 30, 2017",Sainsburys,"A thrifty mac ‘n’ cheese, a Marmite special, plus 44 fab new recipes to try this month. Get your hands on the NEW issue of Sainsbury’s magazine OUT NOW http://bit.ly/2vFH5OK",38,10,4,4400,True,True
264,"August 29, 2017",Sainsburys,Now THAT'S a Bake Off-style showstopper! Meet the cake that's really a sarnie http://bit.ly/2vBA6r1,4900,1500,536,0,True,False
265,"August 29, 2017",Sainsburys,Suddenly in the mood for banana bread? Yeah. Us too.,186,84,25,44000,False,True
266,"August 28, 2017",Sainsburys,AKA our new favourite way to eat our greens 🍃,393,117,51,210000,False,True
267,"August 28, 2017",Sainsburys,"Last Bank holiday weekend until Christmas, people. 🍦🍓🍹🌻🌳😎",200,19,25,55000,False,True
268,"August 27, 2017",Sainsburys,It's bank holiday and the ultimate peach pavlova just arrived in your life... Get the RECIPE: http://bit.ly/2w8mtms,811,90,80,0,True,False
269,"August 26, 2017",Sainsburys,Let us just leave this peri peri halloumi burger with sweetcorn relish here... *DROOLS* Get the Sainsbury’s magazine RECIPE: http://bit.ly/2xa6otC,337,141,37,53000,True,True
270,"August 25, 2017",Sainsburys,Knickerbocker glory trifles with a cherry on top! Get the Sainsbury’s magazine RECIPE: http://bit.ly/2uOgXWp,755,85,178,42000,True,True
271,"August 25, 2017",Sainsburys,Best EVER summer grub. Who's tried them all? 🌞http://bit.ly/2wEId9w,304,23,26,193000,True,True
272,"August 24, 2017",Sainsburys,Sizzling bacon 🥓. Now THAT’S the kind of alarm clock we could get used to.,1000,183,126,633000,False,True
273,"August 23, 2017",Sainsburys,It’s a game-changer 👀 http://bit.ly/2wfVrtY,253,90,47,42000,True,True
274,"August 22, 2017",Sainsburys,That's our (epic) dinner sorted 😀 http://bit.ly/2vlu50E,105,32,12,0,True,False
275,"August 21, 2017",Sainsburys,"Stylish boxes to store notes, chic paperclips (who knew paperclips could be chic?), cool notebooks and much more. Stationery doesn't get much better than this. #SainsburysHome http://bit.ly/2uO1JRv",98,14,3,0,True,False
276,"August 20, 2017",Sainsburys,But it’s sooo creamy http://bit.ly/2vLOTQT,369,96,48,0,True,False
277,"August 20, 2017",Sainsburys,Butter too hard to spread? Don’t worry. We’ve got you. 🙌,634,273,81,197000,False,True
278,"August 19, 2017",Sainsburys,The chicken is ready to party! Get the Sainsbury’s magazine Mojito chicken RECIPE: http://bit.ly/2wPGonf,249,76,41,0,True,False
279,"August 19, 2017",Sainsburys,"Grown-up marshmallow, anyone? http://bit.ly/2w0DbnL",725,828,206,0,True,False
280,"August 17, 2017",Sainsburys,Make a summer showstopper with Sainsbury’s magazine Neapolitan ice cream cake! Get the RECIPE: http://bit.ly/2uuDR56,438,99,115,94000,True,True
281,"August 15, 2017",Sainsburys,Try baking a block of feta for a quick and delicious dinner. Get the Sainsbury’s magazine honey-baked feta RECIPE: http://bit.ly/2wPm7yb,350,177,76,0,True,False
282,"August 14, 2017",Sainsburys,Many of our home products have been designed in-house by our Sainsbury’s Home design team. They’ve taken influence from around the globe to create some unique pieces. Try mixing and matching from our Moroccan Luxe collection for an eclectic vibe. http://bit.ly/2usPWaN,449,48,10,0,True,False
283,"August 13, 2017",Sainsburys,Is it a plant? Is it a cupcake? It’s BOTH! Succulent cupcakes are the latest baking trend. And we want to eat them ALL. Get the RECIPE: http://bit.ly/2uuZrpV,577,238,81,0,True,False
284,"August 12, 2017",Sainsburys,Calling all Aperol spritz fans! Sainsbury’s magazine has made the ULTIMATE summer cheesecake. Get the RECIPE: http://bit.ly/2vwByhl,2000,2500,953,165000,True,True
285,"August 11, 2017",Sainsburys,Blue tongues. The easy way to add some lols to our lolly time.,1100,229,81,869000,False,True
286,"August 10, 2017",Sainsburys,"Puff pastry + frangipane + apricots = the EASIEST summer dessert ever. Get the Sainsbury’s magazine rustic apricot and pistachio tart RECIPE:
http://bit.ly/2vwEytY",348,46,59,37000,True,True
287,"August 10, 2017",Sainsburys,But they look SO creamy 👀 http://bit.ly/2vwGGBJ,115,26,8,0,True,False
288,"August 9, 2017",Sainsburys,Friends coming round last-minute? Don’t panic. We’ve got you covered with these three simple steps to hosting an easy garden party. #SainsburysHome http://bit.ly/2upfAxi,246,37,22,0,True,False
289,"August 8, 2017",Sainsburys,You’ll never guess…? http://bit.ly/2vpcgC6,162,71,27,0,True,False
290,"August 8, 2017",Sainsburys,Pucker up! Sainsbury’s magazine strawberry and cream sponge kisses are super sweet. Get the RECIPE: http://bit.ly/2vwGthW,311,16,56,0,True,False
291,"August 7, 2017",Sainsburys,It’s kitchen hack o’clock 🍋,408,89,38,226000,False,True
292,"August 6, 2017",Sainsburys,"Want to make your cakes even more moist? Go on, tap below 🍰
http://bit.ly/2v3Q5kB",248,41,74,0,True,False
293,"August 5, 2017",Sainsburys,Why have a regular-sized scone when you can have a GIANT scone cake? Get the Sainsbury’s magazine RECIPE: http://bit.ly/2v3QeV7,2400,1000,881,124000,True,True
294,"August 4, 2017",Sainsburys,You’ll never guess 😉 http://bit.ly/2uIgkdL,84,16,10,0,True,False
295,"August 2, 2017",Sainsburys,The race is ON. Who’d win gold for the dinner dash in your family?,246,25,9,176000,False,True
296,"August 2, 2017",Sainsburys,You *need* these raspberry ripple blondies in your life! Get the yummy recipe and 55 others in the new issue of Sainsbury’s magazine OUT NOW http://bit.ly/2uIPthN,324,41,35,32000,True,True
297,"August 1, 2017",Sainsburys,John Whaite’s rustic tomato tart – simple to make but looks and tastes SO good! Get the Sainsbury’s magazine recipe: http://bit.ly/2v3Qsvr,234,18,27,0,True,False
298,"August 1, 2017",Sainsburys,"Well, that’s our weekend plan sorted 🍴 Click here for the recipes: http://bit.ly/2v3WZX7",694,468,139,229000,True,True
299,"July 31, 2017",Sainsburys,Who knew you could use a TUMBLER to cut fruit? 😋,509,307,82,188000,False,True
300,"July 30, 2017",Sainsburys,When you bite into what you think is a muffin and there’s jam inside… Meet the duffin! Get the Sainsbury’s magazine RECIPE: http://bit.ly/2uWfpIZ,741,121,123,0,True,False
301,"July 29, 2017",Sainsburys,"Entertaining guests this weekend? Get the designer look for less by creating your own table centrepiece. It's easy, too. 👀 http://bit.ly/2tJspy7",547,253,74,251000,True,True
302,"July 28, 2017",Sainsburys,"Like chocolate? Like peanut butter? Like popcorn?
Tap to reveal the dessert of your dreams 👀 http://bit.ly/2ttHzHt",566,356,67,0,True,False
303,"July 28, 2017",Sainsburys,When the CUTEST puppies delay your grocery order because all they want to do is play…,14000,1500,3,0,False,False
304,"July 27, 2017",Sainsburys,Quesadilla meets pizza… Step forward the super-cheesy pizzadilla! Get the Sainsbury’s magazine recipe: http://bit.ly/2uxwWVo,1800,1400,528,116000,True,True
305,"July 27, 2017",Sainsburys,"We're VERY proud to announce that we've once again partnered with ParalympicsGB for the 2018 and 2020 Games 🎉🎉🎉 Go Ellie, Jonnie, and the rest of ParalympicsGB 🏅#Paralympics",1500,18,88,0,False,False
306,"July 26, 2017",Sainsburys,Marmite fans! You need to try Sainsbury’s magazine’s SCRUMMY cheese and Marmite swirls for your next picnic: http://bit.ly/2vVWJWY,1200,511,426,65000,True,True
307,"July 26, 2017",Sainsburys,There's always someone who can find room for that extra dish. Who's your table-squish champ?,1800,234,116,1500000,False,True
308,"July 25, 2017",Sainsburys,Bet you a slice you can’t guess... http://bit.ly/2vmKaEz,269,111,49,0,True,False
309,"July 24, 2017",Sainsburys,BEST. COFFEE. HACK. EVER ☕,312,192,43,64000,False,True
310,"July 23, 2017",Sainsburys,Want dinner in 15 minutes? Here's how...,50,5,6,0,False,False
311,"July 23, 2017",Sainsburys,"Sounds weird, but hands up who’s tempted? ☕ http://bit.ly/2u0OB7B",541,377,80,0,True,False
312,"July 22, 2017",Sainsburys,We don’t think you’re ready for this jelly! Try this Sainsbury’s magazine watermelon jelly recipe: http://bit.ly/2t9Uvq0,52,4,8,16000,True,True
313,"July 22, 2017",Sainsburys,Nailed it 🔥,163,29,42,31000,False,True
314,"July 21, 2017",Sainsburys,Take a trip to the seaside this weekend with Sainsbury’s magazine’s Mr Whippy cupcakes: http://bit.ly/2t6mDdw,1500,541,507,88000,True,True
315,"July 21, 2017",Sainsburys,Need a laugh? Watch these mini foodies try their first taste of summer 👶,4500,546,718,1800000,False,True
316,"July 20, 2017",Sainsburys,Nothing beats fresh sheets. http://bit.ly/2u0JOTD,1500,78,28,0,True,False
317,"July 20, 2017",Sainsburys,Cheeseburger meets nachos in this *epic* sharing bake from Sainsbury’s magazine. Get the recipe: http://bit.ly/2tK3Yjc,432,483,164,65000,True,True
318,"July 18, 2017",Sainsburys,The facts every bread lover needs to know. Grab a toastie and get involved 👀,707,182,92,429000,False,True
319,"July 17, 2017",Sainsburys,Fancy a 15 minute CHEESY dinner? Obviously 🍝 http://bit.ly/2u0LjRZ,499,165,103,187000,True,True
320,"July 15, 2017",Sainsburys,"Key lime pie, the sunny pud you’ll make all summer! Get the Sainsbury’s magazine RECIPE: http://bit.ly/2tJtRkF",352,31,57,0,True,False
321,"July 15, 2017",Sainsburys,CLASSIC dad move 😂,3500,10000,2248,1700000,False,True
322,"July 14, 2017",Sainsburys,POW! This fried chicken burger is an explosion of incredible Korean flavours. Get the Sainsbury’s magazine recipe here: http://bit.ly/2tysO78,127,14,14,0,True,False
323,"July 14, 2017",Sainsburys,Do cats or dogs rule your area? Find out with this interactive pet map from our friends at Sainsbury's Bank.,100,35,9,69000,False,True
324,"July 14, 2017",Sainsburys,Customising your decor is a fun and easy way to spruce up your interiors without breaking the bank. Give your houseplants a flash new home with a new crate and a lick of paint. http://bit.ly/2sXoptc,258,18,19,170000,True,True
325,"July 13, 2017",Sainsburys,That’s right - cheese and chutney PIE! That end shot 👌 Get the full recipe here: http://bit.ly/2tFRuea,2500,2000,740,849000,True,True
326,"July 12, 2017",Sainsburys,Feed four for under a fiver with Sainsbury’s magazine’s GIANT fishcake with cheesy centre – YUM! Get the RECIPE: http://bit.ly/2tDPzbj,770,170,304,101000,True,True
327,"July 11, 2017",Sainsburys,You’re not going to believe some of these 😱,1700,706,428,208000,False,True
328,"July 10, 2017",Sainsburys,"SO much easier than you thought, right?",237,35,16,240000,False,True
329,"July 9, 2017",Sainsburys,Lamb gets an epic update for BBQ season with Sainsbury’s magazine’s barbecued butterflied lamb. Fire up the grill! http://bit.ly/2tMnorp,161,22,14,0,True,False
330,"July 8, 2017",Sainsburys,Happy Pride everyone 🌈 http://bit.ly/2tt7fVr,4300,204,355,499000,True,True
331,"July 7, 2017",Sainsburys,"Summer in a tumbler 🌞 Rum, vanilla and ginger beer. See you round at Selasi’s 😉http://bit.ly/2tpNpe1",1800,659,325,299000,True,True
332,"July 7, 2017",Sainsburys,Grab a spoon and dive into Sainsbury’s magazine’s fruity pavlova smash. Get the recipe and 45 others in the new issue OUT NOW! http://bit.ly/2spK41f,645,106,122,65000,True,True
333,"July 6, 2017",Sainsburys,A lighter bowlful of comfort food? PHO real 😆 http://bit.ly/2sKyRby,195,23,18,0,True,False
334,"July 6, 2017",Sainsburys,"No biggie, but these crumpets slathered with lemon curd just so happen to be VEGAN! Mmm crumptious! Get the Sainsbury’s magazine RECIPE: http://bit.ly/2tmg2IJ",446,150,53,0,True,False
335,"July 5, 2017",Sainsburys,YES to making pudding on the BBQ 😍😍😍 http://bit.ly/2tpxEUg,812,318,157,178000,True,True
336,"July 5, 2017",Sainsburys,“Dinner's ready!” What’s your face when you hear those special words? 😋 😍 😝,56,4,6,10000,False,True
337,"July 3, 2017",Sainsburys,This is some 💪 dinner action - and it's all ready in under 25 minutes,99,6,15,0,False,False
338,"July 1, 2017",Sainsburys,Anyone else got the sudden urge to bake or... http://bit.ly/2sJMSTy,203,42,26,0,True,False
339,"June 30, 2017",Sainsburys,"Meet Swedish kladdkaka cake – a rich, gooey chocolate cake best eaten warm with loads of cream! A Sainsbury’s magazine recipe: http://bit.ly/2rYzb68",372,33,75,0,True,False
340,"June 29, 2017",Sainsburys,"Vegan carbonara – and yes, that includes amazing VEGAN ‘BACON' made from coconut flakes http://bit.ly/2sJeeJB",712,361,149,0,True,False
341,"June 28, 2017",Sainsburys,Anyone else want to party round Selasi’s? See ya next to the chicken satay 👀 http://bit.ly/2s7STN7,1000,401,183,155000,True,True
342,"June 27, 2017",Sainsburys,"HE’S BACK! And he’s showing us how to throw a summer party, Selasi style 😋 First things first, cheesy bacon nachos http://bit.ly/2sSP5MM",3900,2600,1228,718000,True,True
343,"June 26, 2017",Sainsburys,Just 15 minutes stands between you and dinner. All you need is our genius 15-minute summer meal plan.,92,6,8,0,False,False
344,"June 26, 2017",Sainsburys,"Bake these delicious vegan coconut, banana and date breakfast squares to pack in your lunchbox. Here's how, from Sainsbury's magazine: http://bit.ly/2rYz7TW",444,121,139,0,True,False
345,"June 25, 2017",Sainsburys,"Enjoy your eight (more like five) hours how you should. In a fresh bedroom. These are our three steps to transforming yours. #SainsburysHome
http://bit.ly/2ryOB0P",511,44,16,0,True,False
346,"June 24, 2017",Sainsburys,"Mini miso aubergines, also known as the lazy recipe that makes it look like you’ve made the effort 😉 http://bit.ly/2rRHEYV",334,95,79,73000,True,True
347,"June 23, 2017",Sainsburys,The glitzy white chocolate cake is ready to party! Get the Sainsbury’s magazine recipe: http://bit.ly/2seoEko,225,22,35,64000,True,True
348,"June 23, 2017",Sainsburys,Hoooooray for National Picnic Week! Sarnie on a park bench? Berries on the balcony? Tell us how you like to picnic in the comments below.,563,76,41,702000,False,True
349,"June 22, 2017",Sainsburys,"This tomato and feta tart is the perfect summer supper, just add buttered new potatoes and salad – YUM! Get the Sainsbury’s magazine recipe: http://bit.ly/2siHlDq",228,30,26,0,True,False
350,"June 21, 2017",Sainsburys,"Each year, our stores partner with a Local Charity of the Year to raise money. Vote for your charity of choice in store or online here: http://bit.ly/2rRMMMr",115,34,98,0,True,False
351,"June 21, 2017",Sainsburys,"When it's this HOT outside, it's only sensible to eat as much Oreo ice cream as possible. Summer, we 💛 ya http://bit.ly/2rQyGuY",1400,851,500,511000,True,True
352,"June 20, 2017",Sainsburys,Hitting your 5-a-day is made easier thanks to The Hairy Bikers' yummy courgette caponata pasta. Get the recipe from Sainsbury’s magazine: http://bit.ly/2siO5kN,293,29,57,0,True,False
353,"June 18, 2017",Sainsburys,Hands up who wants an ICE CREAM SANDWICH?🍦 Get the recipe: http://bit.ly/2saue70,212,33,37,36000,True,True
354,"June 18, 2017",Sainsburys,The BEST DAD deserves the BIGGEST breakfast. Fact. Happy Father's Day! Get the recipe: http://bit.ly/2sjMjQf,212,54,28,0,True,False
355,"June 17, 2017",Sainsburys,Put a smile on dad’s face this #FathersDay with Sainsbury’s magazine’s lemon treacle tart: http://bit.ly/2rryWjV,229,22,32,0,True,False
356,"June 17, 2017",Sainsburys,It's a scorcher and the weather map is turning Sainsbury's orange 🌞 #LivingWell #24Degrees #BritishSummer,830,110,54,1900000,False,True
357,"June 16, 2017",Sainsburys,Have you met the cast of our outdoor Sainsbury's Home launch yet? This is what makes their perfect summer get-together. #SainsburysHome www.sainsburyshome.co.uk/meet-the-cast-the-friends,93,13,2,0,False,False
358,"June 16, 2017",Sainsburys,Your Friday night needs THIS speedy sausage and chilli flatbread. Get the Sainsbury’s magazine recipe: http://bit.ly/2saI6yd,142,24,16,0,True,False
359,"June 15, 2017",Sainsburys,"We know that being a first time dad isn't the easiest, so we gave some of these heroes a well-deserved break this Father's Day. You're welcome guys! Tell us how you’re surprising your dad this #FathersDay",29000,3100,5325,2800000,False,True
360,"June 15, 2017",Sainsburys,"Forget potato crisps, we’re making ours with green beans now👌 http://bit.ly/2r9i7Ka",451,176,94,143000,True,True
361,"June 14, 2017",Sainsburys,Turmeric and saffron chicken kebabs stuffed into pittas – MMM MM! Get the Sainsbury’s magazine recipe: http://bit.ly/2r90Ilb,220,65,54,22000,True,True
362,"June 14, 2017",Sainsburys,"This colourful sweet potato burger is vegan to boot. The only challenge is fitting it all in your mouth! Get the Sainsbury’s magazine recipe:
http://bit.ly/2rpMVq9",219,67,24,0,True,False
363,"June 13, 2017",Sainsburys,Vegan and gluten-free tofu kebabs. Time for you and your barbecue to get to know 👌 http://bit.ly/2r95IGp,670,346,261,112000,True,True
364,"June 12, 2017",Sainsburys,Only got 20 minutes for dinner? We've got your back. And there's some juicy chicken in there too.,67,45,5,0,False,False
365,"June 12, 2017",Sainsburys,How to have actual RAINBOW rolls for lunch 😍🌈 They’re even vegan 😊 http://bit.ly/2rTI6T6,7500,3300,3650,1100000,True,True
366,"June 11, 2017",Sainsburys,They're a yummy way to use up leftover risotto or ragu. Get our arancini recipe here: http://bit.ly/2r8OGYG,175,102,30,0,True,False
367,"June 11, 2017",Sainsburys,This is how to do nibbles... Scandi style! Prep the pickles in advance and you're good to go.,71,52,6,0,False,False
368,"June 10, 2017",Sainsburys,Meet this summer’s HOTTEST burger: Sainsbury’s magazine’s vegan falafel burger in a mushroom bun! Get the recipe: http://bit.ly/2qFraCt,621,202,138,0,True,False
369,"June 9, 2017",Sainsburys,"Here are our favourite sunny coloured homeware pieces, in case you can’t get enough of the real deal: http://bit.ly/2rDjw8X #SainsburysHome",188,49,3,0,True,False
370,"June 8, 2017",Sainsburys,Avocado + chocolate = DELICIOUS! Thank you Sainsbury’s magazine for this avocado tiffin recipe: http://bit.ly/2qFm3SQ,718,298,249,80000,True,True
371,"June 7, 2017",Sainsburys,"Featuring the no-bake tart you’ll make all summer, plus 42 exciting new recipes! Get your hands on the June issue of Sainsbury’s magazine OUT NOW! http://bit.ly/2rs2af8",195,89,15,31000,True,True
372,"June 7, 2017",Sainsburys,That’s packed lunch for the kids sorted 🙌 Fresh chicken wraps by the lovely MillysKidchup 😊 Get her full recipe here: http://bit.ly/2rsg94E,580,165,134,381000,True,True
373,"June 6, 2017",Sainsburys,Chocolate cake made from cauliflower with tahini frosting? Get outta here! Who’s up for it? Click here for full recipe: http://bit.ly/2qTrLRh,559,569,291,338000,True,True
374,"June 5, 2017",Sainsburys,Sticky miso salmon and oodles of noodles 😍 Kid-friendly recipe courtesy of MillysKidchup. For the full recipe click here: http://bit.ly/2qJ1Nj3,326,82,70,140000,True,True
375,"June 3, 2017",Sainsburys,HUBBA HUBBA! Saturday nights in are made for Sainsbury’s magazine’s salt and pepper rib of beef with Bloody Mary sauce! Get the recipe: http://bit.ly/2qvKfXO,242,62,30,0,True,False
376,"June 3, 2017",Sainsburys,"Picnic dishes so pretty you ALMOST won’t want to eat them. Obviously, you will 😋",56,18,3,0,False,False
377,"June 2, 2017",Sainsburys,Feed four in 30 minutes with Sainsbury’s magazine’s tasty spicy prawn and vegetable pilau! http://bit.ly/2qvRI9e,263,33,54,0,True,False
378,"June 2, 2017",Sainsburys,"Have you seen our new launch of Sainsbury’s Home yet? Featuring the Forsons, here’s everything you need to know about our starring family of five. http://bit.ly/2qIkDXB #SainsburysHome",406,34,16,0,True,False
379,"June 1, 2017",Sainsburys,"Speedy chickpea pasta even the kids’ll love, courtesy of the lovely MillysKidchup. Happy days! 😋😋😋 Click here for her recipe: http://bit.ly/2qw6xZA",442,94,135,102000,True,True
380,"May 31, 2017",Sainsburys,"EPIC mini Dutch pancakes, anyone? That homemade blueberry sauce is 👌 All thanks to the lovely MillysKidchup 😊 Click here for her recipe: http://bit.ly/2sic5mT",212,87,52,148000,True,True
381,"May 30, 2017",Sainsburys,Get fruity with Sainsbury’s magazine’s fresh ‘n’ fabulous fruity bakes: http://bit.ly/2rg2Xj8,482,29,40,0,True,False
382,"May 29, 2017",Sainsburys,"Introducing: BOODLES. That’s butternut squash noodles, obviously 😉 Here’s how to eat ‘em with peanut chicken. Yeaaah. For the full recipe click here: http://bit.ly/2r3E5er",1900,1000,637,590000,True,True
383,"May 29, 2017",Sainsburys,Custard creams + rhubarb = the best cheesecake in the world! Get the Sainsbury’s magazine recipe: http://bit.ly/2qfyLrm,2600,622,1226,189000,True,True
384,"May 28, 2017",Sainsburys,Bought any #SainsburysHome products lately? We'd love to see! Upload a pic in the comments and you might feature in our next post.,89,41,2,29000,False,True
385,"May 28, 2017",Sainsburys,Now THAT’S how you cook restaurant-style ribs at home. BOSH 👊 http://bit.ly/2qBk9l6,526,138,245,178000,True,True
386,"May 28, 2017",Sainsburys,"Floor cushions, rainbow sundae dishes and a colour-pop lily candle - here's how to make your summer outdoor dining more stylish 🌞",72,6,2,0,False,False
387,"May 27, 2017",Sainsburys,A sunny bank holiday calls for one thing. ICE CREEAAAM! Comment with a picture of your ice cream face for the chance to WIN a £10 Sainsbury's gift card. T&Cs apply: http://bit.ly/2r5zwSL,540,185,28,707000,True,True
388,"May 27, 2017",Sainsburys,"Homemade pineapple and coconut lollies. Taste like a day at the beach, people 🏖 Have you had your first lolly of the year yet? Click here for the full recipe http://bit.ly/2qfml2I",1000,138,406,101000,True,True
389,"May 27, 2017",Sainsburys,"Romantic, budget or family-friendly - here’s how to prep a picnic for every occasion. ‘Tis the season to snack 🌞",71,10,4,0,False,False
390,"May 25, 2017",Sainsburys,"A right rosy weekend treat! Make this white chocolate, raspberry and rose cake from Sainsbury’s magazine. Get the recipe: http://bit.ly/2qbGfLW",708,120,94,0,True,False
391,"May 25, 2017",Sainsburys,Tattie fans! We've got 1kg Jersey Royals for £1 this bank holiday weekend. Did someone say potato party?👌,128,11,12,0,False,False
392,"May 22, 2017",Sainsburys,"To finish this Swedish fish soup just add tangy sour cream, dill and sourdough bread to create a meal in itself: http://bit.ly/2rzDRKY",82,18,12,0,True,False
393,"May 21, 2017",Sainsburys,"It just goes to show, it's ALL in the details. Get the globe-trotter look with #SainsburysHome: http://bit.ly/2pTCwCr",132,6,3,37000,True,True
394,"May 21, 2017",Sainsburys,Hello old friend 😍 Click here for full recipe: http://bit.ly/2pCQOra,1200,530,667,266000,True,True
395,"May 20, 2017",Sainsburys,Hands up whose fave spot at the party is next to the buffet table 😆 These adult finger foods are right up your alley 🙌,88,9,3,0,False,False
396,"May 20, 2017",Sainsburys,Best ever cycle picnics - because no one wants a squashed sarnie after all that pedalling 🙌 http://bit.ly/2pTvGx1,47,2,3,10000,True,True
397,"May 20, 2017",Sainsburys,Oven brunch omelette for the Saturday morning win! Get the Sainsbury’s magazine RECIPE: http://bit.ly/2qBAYw7,116,9,16,0,True,False
398,"May 19, 2017",Sainsburys,"Lunch, brunch or picnic, take your pick when you whip up Sainsbury’s magazine’s easy and tasty sausage frittata! Get the RECIPE: http://bit.ly/2qdr15I",135,9,29,0,True,False
399,"May 18, 2017",Sainsburys,Life's too short for plain white dishes. Add a splash of colour to you dining table with this glam set from our Butterfly House collection: http://bit.ly/2r8ketB #SainsburysHome,449,45,10,80000,True,True
400,"May 18, 2017",Sainsburys,Unpredictable British weather spoilt your picnic plans? Not to worry. We’re having a floor picnic instead. http://bit.ly/2qAp3N5,650,94,59,608000,True,True
401,"May 17, 2017",Sainsburys,"Around the 🌍 in a week, without even leaving the kitchen. Get the veggie meal plan, including this spicy, pomegranate laksa. http://bit.ly/2qsm7nw",53,10,13,0,True,False
402,"May 16, 2017",Sainsburys,Hands up who fancies this mega VEGAN Caesar salad? Courtesy of the ever brilliant Kin Cafe 🌱 Click here for full recipe: http://bit.ly/2pJzCAn,330,137,85,67000,True,True
403,"May 15, 2017",Sainsburys,"Kick-start the morning with Sainsbury’s magazine’s scrambled egg wrap, packed full of Indian spices and avocado – YUM! Get the RECIPE: http://bit.ly/2q9Mhv5",147,19,24,0,True,False
404,"May 14, 2017",Sainsburys,Spiced marmalade chicken drumsticks with blue cheese sauce – PHWOAR! *Napkins advised*. Get the Sainsbury’s magazine RECIPE: http://bit.ly/2qdpZGN,156,18,19,0,True,False
405,"May 13, 2017",Sainsburys,Have you tried this epic vegan BARBECUE pulled celeriac burger yet? It’s 👌 Click here for full recipe http://bit.ly/2qqFUod,1700,1500,655,571000,True,True
406,"May 13, 2017",Sainsburys,We're having salad for breakfast now. Fancy it? Start with this RAINBOW CARROT and savoury granola corker 🌈 Click here for full recipe: http://bit.ly/2qA6P0H,597,116,86,267000,True,True
407,"May 12, 2017",Sainsburys,"There's nothing fishy about our Shore collection. Oh ok, maybe a little. Take a peek at the full #SainsburysHome collection here: http://bit.ly/2pwVh9X",74,4,3,13000,True,True
408,"May 12, 2017",Sainsburys,All this news about avocado injuries got our Sydenham store thinking...how can we help? 🥑,3500,4100,1624,990000,False,True
409,"May 12, 2017",Sainsburys,How to celebrate your love of PEANUT BUTTER. Tag a friend who eats it straight out of the jar. No judgment 😉 http://bit.ly/2pqoDqx,233,111,22,23000,True,True
410,"May 11, 2017",Sainsburys,Feed four for under a fiver with this tasty meatball potato bake! Get the Sainsbury’s magazine RECIPE: http://bit.ly/2pwQ95y,423,62,136,45000,True,True
411,"May 11, 2017",Sainsburys,Anyone else TOTALLY mesmerised by this cleaning hack? 👀,3500,370,1166,465000,False,True
412,"May 10, 2017",Sainsburys,"Mojo the dog can't wait to get out, out, out this weekend ☀️ Who feels the same?",1400,119,122,878000,False,True
413,"May 9, 2017",Sainsburys,Here’s how to win the grown-up packed lunch game 👊 Cheese sarnie who? Click here for full recipe: http://bit.ly/2pgC3Ki,376,67,74,81000,True,True
414,"May 8, 2017",Sainsburys,Whip up a masterpiece for your friends and family with Sainsbury’s magazine’s spectacular watercolour cake! Get the RECIPE: http://bit.ly/2pdEsAu,412,64,66,64000,True,True
415,"May 7, 2017",Sainsburys,Your afternoon cuppa needs a slice of white chocolate and blueberry loaf cake! Get the Sainsbury’s magazine recipe: http://bit.ly/2pok4OR,792,112,117,0,True,False
416,"May 6, 2017",Sainsburys,Want to show off your lovely new #SainsburysHome purchase? Upload a pic of it in the comments below and we might feature it in one of our posts. We love seeing how you've styled your home!,113,17,4,20000,False,True
417,"May 6, 2017",Sainsburys,Saturday night = STEAK night. Get our recipe: http://bit.ly/2qvNtJY,119,20,9,0,True,False
418,"May 5, 2017",Sainsburys,When a GLUTEN-FREE choc brownie is better than the real thing 😀 Cheers Jason Vale Juice Master! Get the recipe here: http://bit.ly/2qvojLG,4500,3300,3057,790000,True,True
419,"May 5, 2017",Sainsburys,Ready for salad season? No? These RAINBOW recipes will help 🌈http://bit.ly/2pFlxk1,215,23,28,0,True,False
420,"May 4, 2017",Sainsburys,"Asparagus is officially back in our lives, people 😀 Here's how to eat yours, and it involves dippy eggs. Result: http://bit.ly/2pCgKQa",84,6,3,11000,True,True
421,"May 4, 2017",Sainsburys,Oh HELLO seriously glam bed sheets. All that's missing is a pair of silk jammies. Browse the #SainsburysHome collection here: http://bit.ly/2pCaWWR,750,61,35,92000,True,True
422,"May 4, 2017",Sainsburys,LEGO® cards have arrived in store. You can collect a free pack of 4 when you spend £10 - there are 140 to discover! Pick up your collector's album in store and online. T&Cs: http://bit.ly/2pFAFOx,4500,2300,1596,760000,True,True
423,"May 3, 2017",Sainsburys,"VEGGIE RICE 😋 That’s rice, made from veggies. We’re in. Give it a go with this epic jerk salmon grain bowl: http://bit.ly/2pC9Omn",62,3,7,0,True,False
424,"May 3, 2017",Sainsburys,Say hello to the BEST Scotch eggs ever! Get the Sainsbury’s magazine Teriyaki chicken Scotch eggs recipe here: http://bit.ly/2pCd0y9,287,88,109,62000,True,True
425,"May 2, 2017",Sainsburys,"Check out Sainsbury’s magazine NEW LOOK May issue! 42 triple-tested recipes, new ideas from the hottest rising food stars, weekend baking and LOTS more…
http://bit.ly/2qp0oNE",100,10,4,9100,True,True
426,"May 2, 2017",Sainsburys,It's true! These delicious meals contain under 500 calories (we won't tell if you don't)...,466,31,145,0,False,False
